End of Month,Retired_Worker_Total_Amount,Retired_Worker_Total_Average_Amount,Retired_Worker_Male_Number,Retired_Worker_Male_Average_Amount,Retired_Worker_Male_Female_Number,Retired_Worker_Female_Average_Amount,Spouse_of_Retired_Worker_Total_Number,Spouse_of_Retired_Worker_Total_Average_Amount,Spouse_of_Retired_Worker_Male_Number,Spouse_of_Retired_Worker_Male_Average_Amount,Spouse_of_Retired_Worker_Female_Number,Spouse_of_Retired_Worker_Female_Average_Amount,Child_Of_Retired_Worker_Total_Number,Child_Of_Retired_Worker_Total_Average_Amount,Child_Of_Retired_Worker_Minor_Number,Child_Of_Retired_Worker_Minor_Average_Amount,Child_Of_Retired_Worker_Disabled_Number,Child_Of_Retired_Worker_Disabled_Average_Amount,Child_Of_Retired_Worker_Student_Number,Child_Of_Retired_Worker_Student_Average_Amount,Child_Of_Deceased_Worker_Total_Number,Child_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Deceased_Worker_Minor_Number,Child_Of_Deceased_Worker_Minor_Average_Amount,Child_Of_Deceased_Worker_Disabled_Number,Child_Of_Deceased_Worker_Disabled_Average_Amount,Child_Of_Deceased_Worker_Student_Number,Child_Of_Deceased_Worker_Student_Average_Amount,Child_Of_Aged_Widower_Total_Number,Child_Of_Aged_Widower_Total_Average_Amount,Child_Of_Aged_Widower_Male_Number,Child_Of_Aged_Widower_Male_Average_Amount,Child_Of_Aged_Widower_Female_Number,Child_Of_Aged_Widower_Female_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Total_Number,Child_Of_Young_Widower_With_Child_In_Care_Total_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Male_Number,Child_Of_Young_Widower_With_Child_In_Care_Male_Average_Amount,Child_Of_Young_Widower_With_Child_In_Care_Female_Number,Child_Of_Young_Widower_With_Child_In_Care_Female_Average_Amount,Child_Of_Disabled_Widower_Total_Number,Child_Of_Disabled_Widower_Total_Average_Amount,Child_Of_Disabled_Widower_Male_Number,Child_Of_Disabled_Widower_Male_Average_Amount,Child_Of_Disabled_Widower_Female_Number,Child_Of_Disabled_Widower_Female_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Total_Number,Child_Of_Parent_Of_Deceased_Worker_Total_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Male_Number,Child_Of_Parent_Of_Deceased_Worker_Male_Average_Amount,Child_Of_Parent_Of_Deceased_Worker_Female_Number,Child_Of_Parent_Of_Deceased_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Male_Number,Child_Of_Disabled_Worker_Male_Average_Amount,Child_Of_Disabled_Worker_Female_Number,Child_Of_Disabled_Worker_Female_Average_Amount,Spouse_Of_Disabled_Worker_Total_Number,Spouse_Of_Disabled_Worker_Total_Average_Amount,Spouse_Of_Disabled_Worker_Male_Number,Spouse_Of_Disabled_Worker_Male_Average_Amount,Spouse_Of_Disabled_Worker_Female_Number,Spouse_Of_Disabled_Worker_Female_Average_Amount,Child_Of_Disabled_Worker_Total_Number,Child_Of_Disabled_Worker_Total_Average_Amount,Child_Of_Disabled_Worker_Minor_Number,Child_Of_Disabled_Worker_Minor_Average_Amount,Child_Of_Disabled_Worker_Disabled_Number,Child_Of_Disabled_Worker_Disabled_Average_Amount,Child_Of_Disabled_Worker_Student_Number,Child_Of_Disabled_Worker_Student_Average_Amount,,,,,,,,,,,
May-80,"19,107,624",$295.70 ,"10,250,222",$328.92 ,"8,857,402",$257.27 ,"2,980,664",$148.94 ,"39,099",$115.53 ,"2,941,565",$149.38 ,"662,336",$120.88 ,"358,916",$98.13 ,"138,740",$138.44 ,"164,680",$155.69 ,"2,747,667",$206.86 ,"1,935,217",$202.83 ,"269,214",$196.67 ,"543,236",$226.24 ,"4,217,908",$270.57 ,"18,912",$209.26 ,"4,198,996",$270.84 ,"561,108",$210.59 ,"15,392",$122.10 ,"545,716",$213.08 ,"128,072",$179.95 ,869,$130.32 ,"127,203",$180.29 ,"15,405",$239.69 ,714,$216.06 ,"14,691",$240.84 ,"2,863,903",$323.08 ,"1,932,209",$354.09 ,"931,694",$258.75 ,"469,057",$96.15 ,"2,167",$82.65 ,"466,890",$96.21 ,"1,438,911",$96.19 ,"1,217,488",$90.67 ,"32,412",$118.17 ,"189,011",$127.99 ,,,,,,,,,,,
Jun-80,"19,167,631",$338.43 ,"10,278,490",$376.51 ,"8,889,141",$294.41 ,"2,986,812",$170.46 ,"39,095",$132.09 ,"2,947,717",$170.97 ,"636,514",$137.54 ,"359,110",$112.65 ,"139,196",$158.49 ,"138,208",$181.12 ,"2,664,440",$236.62 ,"1,929,803",$232.43 ,"270,069",$225.05 ,"464,568",$260.78 ,"4,226,339",$309.52 ,"19,127",$239.05 ,"4,207,212",$309.84 ,"560,303",$241.47 ,"15,539",$139.62 ,"544,764",$244.37 ,"127,851",$205.63 ,883,$148.34 ,"126,968",$206.03 ,"15,329",$274.26 ,703,$247.25 ,"14,626",$275.56 ,"2,862,815",$369.85 ,"1,931,416",$405.43 ,"931,399",$296.07 ,"467,550",$110.45 ,"2,160",$93.92 ,"465,390",$110.52 ,"1,403,175",$110.14 ,"1,213,320",$104.28 ,"32,438",$135.50 ,"157,417",$150.05 ,,,,,,,,,,,
Jul-80,"19,221,311",$338.69 ,"10,299,152",$376.87 ,"8,922,159",$294.63 ,"2,991,632",$170.66 ,"39,163",$132.11 ,"2,952,469",$171.17 ,"619,722",$137.03 ,"358,520",$113.06 ,"139,651",$158.81 ,"121,551",$182.69 ,"2,580,859",$236.90 ,"1,921,878",$233.04 ,"270,982",$225.28 ,"387,999",$264.11 ,"4,237,526",$309.78 ,"19,376",$238.98 ,"4,218,150",$310.11 ,"560,606",$242.27 ,"15,705",$139.94 ,"544,901",$245.22 ,"127,604",$205.52 ,881,$147.52 ,"126,723",$205.92 ,"15,255",$274.79 ,701,$247.63 ,"14,554",$276.10 ,"2,861,283",$370.04 ,"1,930,342",$405.69 ,"930,941",$296.12 ,"466,580",$110.54 ,"2,159",$93.02 ,"464,421",$110.63 ,"1,363,470",$109.58 ,"1,208,089",$104.49 ,"32,509",$135.69 ,"122,872",$152.72 ,,,,,,,,,,,
Aug-80,"19,307,669",$339.30 ,"10,341,866",$377.61 ,"8,965,803",$295.11 ,"2,998,282",$170.93 ,"39,157",$132.04 ,"2,959,125",$171.44 ,"632,122",$138.12 ,"358,944",$113.46 ,"140,234",$159.15 ,"132,944",$182.53 ,"2,612,816",$237.63 ,"1,914,180",$233.45 ,"271,952",$225.51 ,"426,684",$264.10 ,"4,248,228",$310.13 ,"19,541",$239.45 ,"4,228,687",$310.46 ,"561,431",$242.86 ,"15,983",$140.09 ,"545,448",$245.87 ,"127,384",$205.36 ,879,$146.78 ,"126,505",$205.77 ,"15,152",$275.06 ,695,$247.99 ,"14,457",$276.36 ,"2,861,041",$370.20 ,"1,929,881",$405.93 ,"931,160",$296.15 ,"465,178",$110.37 ,"2,166",$92.78 ,"463,012",$110.45 ,"1,371,743",$109.86 ,"1,203,442",$104.41 ,"32,543",$135.57 ,"135,758",$152.06 ,,,,,,,,,,,
Sep-80,"19,388,504",$339.78 ,"10,381,984",$378.19 ,"9,006,520",$295.51 ,"3,006,209",$171.17 ,"39,135",$131.99 ,"2,967,074",$171.69 ,"641,424",$139.12 ,"359,322",$114.03 ,"140,859",$159.50 ,"141,243",$182.62 ,"2,632,852",$238.37 ,"1,906,007",$234.06 ,"272,729",$225.76 ,"454,116",$264.00 ,"4,258,930",$310.41 ,"19,778",$239.62 ,"4,239,152",$310.74 ,"561,088",$243.81 ,"15,863",$140.73 ,"545,225",$246.81 ,"127,132",$205.25 ,898,$145.30 ,"126,234",$205.67 ,"15,074",$275.27 ,686,$247.82 ,"14,388",$276.58 ,"2,860,346",$370.32 ,"1,929,289",$406.13 ,"931,057",$296.12 ,"464,052",$110.40 ,"2,155",$92.50 ,"461,897",$110.48 ,"1,375,544",$110.23 ,"1,198,599",$104.53 ,"32,629",$135.79 ,"144,316",$151.81 ,,,,,,,,,,,
Oct-80,"19,463,918",$340.26 ,"10,417,342",$378.77 ,"9,046,576",$295.92 ,"3,012,972",$171.41 ,"39,174",$132.04 ,"2,973,798",$171.93 ,"650,473",$140.16 ,"358,893",$114.50 ,"141,427",$159.83 ,"150,153",$182.97 ,"2,656,339",$239.26 ,"1,899,160",$234.79 ,"273,641",$226.00 ,"483,538",$264.30 ,"4,269,296",$310.68 ,"19,981",$239.48 ,"4,249,315",$311.01 ,"559,908",$245.03 ,"15,558",$141.79 ,"544,350",$247.98 ,"127,051",$205.10 ,904,$145.34 ,"126,147",$205.53 ,"14,982",$275.58 ,681,$247.98 ,"14,301",$276.89 ,"2,860,615",$370.47 ,"1,929,501",$406.36 ,"931,114",$296.09 ,"463,418",$110.58 ,"2,152",$92.22 ,"461,266",$110.66 ,"1,379,916",$110.78 ,"1,193,973",$104.82 ,"32,741",$136.11 ,"153,202",$151.84 ,,,,,,,,,,,
Nov-80,"19,524,341",$340.83 ,"10,444,818",$379.47 ,"9,079,523",$296.39 ,"3,016,118",$171.68 ,"39,212",$132.05 ,"2,976,906",$172.20 ,"648,697",$140.68 ,"357,914",$114.73 ,"141,836",$160.15 ,"148,947",$184.48 ,"2,643,325",$239.55 ,"1,890,735",$234.99 ,"274,417",$226.17 ,"478,173",$265.29 ,"4,278,424",$310.92 ,"20,127",$239.55 ,"4,258,297",$311.26 ,"560,740",$245.58 ,"15,697",$142.64 ,"545,043",$248.54 ,"126,853",$205.00 ,901,$145.11 ,"125,952",$205.43 ,"14,885",$275.79 ,681,$247.69 ,"14,204",$277.14 ,"2,860,520",$370.60 ,"1,929,444",$406.56 ,"931,076",$296.08 ,"462,838",$110.53 ,"2,170",$92.15 ,"460,668",$110.62 ,"1,367,587",$110.61 ,"1,189,732",$104.70 ,"32,845",$136.07 ,"145,010",$153.38 ,,,,,,,,,,,
Dec-80,"19,582,625",$341.41 ,"10,470,788",$380.18 ,"9,111,837",$296.86 ,"3,018,008",$171.95 ,"39,221",$132.07 ,"2,978,787",$172.48 ,"642,445",$140.49 ,"356,669",$115.00 ,"142,204",$160.47 ,"143,572",$184.01 ,"2,608,653",$239.52 ,"1,883,236",$235.25 ,"275,430",$226.36 ,"449,987",$265.44 ,"4,287,930",$311.16 ,"20,351",$239.36 ,"4,267,579",$311.51 ,"562,798",$246.20 ,"15,954",$142.99 ,"546,844",$249.21 ,"126,659",$204.92 ,902,$145.49 ,"125,757",$205.35 ,"14,796",$276.07 ,680,$248.32 ,"14,116",$277.41 ,"2,861,253",$370.74 ,"1,929,618",$406.79 ,"931,635",$296.08 ,"462,204",$110.48 ,"2,147",$91.78 ,"460,057",$110.57 ,"1,358,715",$110.30 ,"1,185,618",$104.60 ,"32,898",$136.03 ,"140,199",$152.43 ,,,,,,,,,,,
Jan-81,"19,677,075",$342.29 ,"10,526,252",$381.36 ,"9,150,823",$297.36 ,"3,019,915",$172.38 ,"39,174",$131.94 ,"2,980,741",$172.91 ,"648,172",$141.23 ,"356,268",$115.41 ,"142,400",$160.86 ,"149,504",$184.07 ,"2,625,304",$239.87 ,"1,878,393",$235.54 ,"276,544",$226.56 ,"470,367",$265.03 ,"4,298,912",$311.46 ,"20,612",$239.49 ,"4,278,300",$311.81 ,"564,030",$246.44 ,"16,137",$143.12 ,"547,893",$249.49 ,"126,300",$204.80 ,912,$144.92 ,"125,388",$205.24 ,"14,672",$276.48 ,670,$248.52 ,"14,002",$277.81 ,"2,857,331",$370.91 ,"1,926,799",$407.03 ,"930,532",$296.11 ,"460,851",$110.31 ,"2,147",$91.80 ,"458,704",$110.40 ,"1,365,161",$110.49 ,"1,179,747",$104.51 ,"32,934",$135.97 ,"152,480",$151.30 ,,,,,,,,,,,
Feb-81,"19,678,949",$342.89 ,"10,521,158",$382.15 ,"9,157,791",$297.79 ,"3,013,678",$172.80 ,"38,999",$131.89 ,"2,974,679",$173.33 ,"654,927",$142.12 ,"353,552",$115.49 ,"142,336",$161.27 ,"159,039",$184.17 ,"2,655,082",$240.36 ,"1,873,215",$235.75 ,"277,495",$226.75 ,"504,372",$264.98 ,"4,303,134",$311.72 ,"20,755",$239.57 ,"4,282,379",$312.07 ,"564,082",$246.37 ,"16,252",$142.75 ,"547,830",$249.44 ,"125,965",$204.66 ,928,$144.86 ,"125,037",$205.10 ,"14,558",$276.73 ,671,$250.18 ,"13,887",$278.02 ,"2,854,519",$371.10 ,"1,924,712",$407.30 ,"929,807",$296.16 ,"459,745",$110.13 ,"2,141",$91.46 ,"457,604",$110.21 ,"1,376,814",$110.89 ,"1,175,429",$104.46 ,"32,938",$136.03 ,"168,447",$150.84 ,,,,,,,,,,,
Mar-81,"19,706,332",$343.47 ,"10,535,053",$382.97 ,"9,171,279",$298.09 ,"3,010,676",$173.15 ,"38,833",$131.77 ,"2,971,843",$173.69 ,"660,347",$142.76 ,"351,301",$115.59 ,"142,201",$161.49 ,"166,845",$183.99 ,"2,679,813",$240.82 ,"1,868,502",$236.00 ,"278,424",$226.95 ,"532,887",$264.96 ,"4,306,502",$312.00 ,"20,883",$239.51 ,"4,285,619",$312.35 ,"561,696",$245.97 ,"16,433",$142.35 ,"545,263",$249.09 ,"125,520",$204.50 ,930,$144.18 ,"124,590",$204.95 ,"14,410",$277.11 ,660,$251.34 ,"13,750",$278.34 ,"2,851,342",$371.26 ,"1,922,394",$407.54 ,"928,948",$296.16 ,"457,881",$109.80 ,"2,131",$91.35 ,"455,750",$109.89 ,"1,384,275",$111.09 ,"1,171,071",$104.34 ,"33,056",$135.97 ,"180,148",$150.34 ,,,,,,,,,,,
Apr-81,"19,736,339",$343.69 ,"10,549,763",$383.35 ,"9,186,576",$298.14 ,"3,011,156",$173.28 ,"38,746",$131.63 ,"2,972,410",$173.83 ,"662,233",$143.09 ,"349,373",$115.59 ,"142,177",$161.65 ,"170,683",$183.90 ,"2,687,350",$241.05 ,"1,861,040",$236.14 ,"279,127",$227.13 ,"547,183",$264.87 ,"4,311,126",$312.19 ,"21,062",$239.38 ,"4,290,064",$312.55 ,"558,958",$245.27 ,"16,572",$141.97 ,"542,386",$248.42 ,"125,089",$204.44 ,949,$143.82 ,"124,140",$204.90 ,"14,312",$277.25 ,660,$252.11 ,"13,652",$278.46 ,"2,847,434",$371.37 ,"1,920,017",$407.72 ,"927,417",$296.11 ,"455,945",$109.47 ,"2,134",$91.00 ,"453,811",$109.56 ,"1,384,161",$111.21 ,"1,164,203",$104.25 ,"33,101",$135.95 ,"186,857",$150.22 ,,,,,,,,,,,
May-81,"19,761,598",$343.93 ,"10,558,379",$383.72 ,"9,203,219",$298.27 ,"3,010,488",$173.43 ,"38,737",$131.53 ,"2,971,751",$173.97 ,"664,377",$143.21 ,"348,365",$115.54 ,"142,386",$161.82 ,"173,626",$183.47 ,"2,692,507",$241.23 ,"1,855,323",$236.27 ,"279,851",$227.29 ,"557,333",$264.74 ,"4,315,842",$312.42 ,"21,210",$239.29 ,"4,294,632",$312.78 ,"555,303",$244.68 ,"16,692",$141.48 ,"538,611",$247.88 ,"124,707",$204.41 ,960,$144.31 ,"123,747",$204.88 ,"14,229",$277.47 ,652,$252.06 ,"13,577",$278.69 ,"2,840,134",$371.48 ,"1,914,829",$407.90 ,"925,305",$296.12 ,"453,367",$109.29 ,"2,111",$90.93 ,"451,256",$109.37 ,"1,381,021",$111.21 ,"1,156,919",$104.13 ,"33,052",$135.82 ,"191,050",$149.87 ,,,,,,,,,,,
Jun-81,"19,791,930",$382.83 ,"10,571,821",$427.22 ,"9,220,109",$331.92 ,"3,009,786",$193.12 ,"38,679",$146.12 ,"2,971,107",$193.73 ,"639,426",$158.38 ,"346,784",$128.79 ,"141,975",$180.34 ,"150,667",$205.79 ,"2,624,398",$268.58 ,"1,848,507",$263.41 ,"281,156",$253.95 ,"494,735",$296.24 ,"4,321,358",$347.74 ,"21,413",$266.47 ,"4,299,945",$348.14 ,"548,720",$272.54 ,"16,718",$157.53 ,"532,002",$276.16 ,"124,240",$227.30 ,979,$160.31 ,"123,261",$227.83 ,"14,141",$309.18 ,653,$279.90 ,"13,488",$310.60 ,"2,835,471",$413.56 ,"1,911,506",$454.21 ,"923,965",$329.48 ,"450,338",$122.05 ,"2,100",$101.21 ,"448,238",$122.15 ,"1,350,022",$123.69 ,"1,149,728",$116.29 ,"33,000",$151.38 ,"167,294",$169.08 ,,,,,,,,,,,
Jul-81,"19,854,817",$383.30 ,"10,600,709",$427.83 ,"9,254,108",$332.29 ,"3,012,352",$193.41 ,"38,635",$145.97 ,"2,973,717",$194.03 ,"617,302",$157.65 ,"345,819",$129.25 ,"141,712",$180.62 ,"129,771",$208.27 ,"2,534,524",$268.49 ,"1,841,709",$263.89 ,"282,847",$252.97 ,"409,968",$299.87 ,"4,332,009",$348.02 ,"21,634",$266.52 ,"4,310,375",$348.43 ,"546,724",$273.15 ,"16,848",$158.27 ,"529,876",$276.80 ,"123,934",$227.16 ,998,$159.35 ,"122,936",$227.71 ,"14,075",$308.96 ,657,$279.54 ,"13,418",$310.40 ,"2,827,181",$413.60 ,"1,905,319",$454.32 ,"921,862",$329.43 ,"447,493",$122.15 ,"2,077",$100.81 ,"445,416",$122.25 ,"1,306,006",$122.99 ,"1,140,230",$116.38 ,"32,983",$151.38 ,"132,793",$172.67 ,,,,,,,,,,,
Aug-81,"19,928,001",$383.81 ,"10,635,308",$428.49 ,"9,292,693",$332.68 ,"3,017,517",$193.71 ,"38,606",$145.98 ,"2,978,911",$194.33 ,"626,833",$158.72 ,"345,408",$129.60 ,"142,127",$180.96 ,"139,298",$208.24 ,"2,555,884",$269.20 ,"1,830,333",$264.31 ,"283,696",$253.19 ,"441,855",$299.75 ,"4,344,068",$348.32 ,"21,873",$266.75 ,"4,322,195",$348.73 ,"544,716",$273.68 ,"16,841",$158.20 ,"527,875",$277.36 ,"123,487",$227.06 ,998,$159.69 ,"122,489",$227.61 ,"13,989",$309.16 ,656,$278.94 ,"13,333",$310.64 ,"2,814,150",$413.61 ,"1,896,362",$454.41 ,"917,788",$329.32 ,"443,011",$122.16 ,"2,056",$100.73 ,"440,955",$122.26 ,"1,299,656",$123.38 ,"1,123,957",$116.35 ,"32,836",$151.54 ,"142,863",$172.22 ,,,,,,,,,,,
Sep-81,"19,976,257",$384.46 ,"10,659,600",$429.21 ,"9,316,657",$333.26 ,"3,016,815",$193.98 ,"38,626",$145.99 ,"2,978,189",$194.60 ,"632,057",$159.66 ,"343,763",$130.02 ,"142,587",$181.29 ,"145,707",$208.43 ,"2,560,769",$269.99 ,"1,812,280",$264.97 ,"284,092",$253.44 ,"464,397",$299.71 ,"4,356,065",$348.59 ,"22,066",$266.89 ,"4,333,999",$349.01 ,"540,102",$274.45 ,"16,806",$158.43 ,"523,296",$278.17 ,"122,974",$226.97 ,"1,003",$159.23 ,"121,971",$227.53 ,"13,911",$309.23 ,652,$279.11 ,"13,259",$310.71 ,"2,804,617",$413.57 ,"1,890,037",$454.43 ,"914,580",$329.12 ,"438,789",$122.09 ,"2,045",$100.63 ,"436,744",$122.19 ,"1,291,334",$123.70 ,"1,109,233",$116.36 ,"32,791",$151.85 ,"149,310",$172.04 ,,,,,,,,,,,
Oct-81,"20,039,216",$385.04 ,"10,691,523",$429.88 ,"9,347,693",$333.75 ,"3,018,087",$194.28 ,"38,651",$145.93 ,"2,979,436",$194.91 ,"637,243",$160.65 ,"342,359",$130.52 ,"142,890",$181.59 ,"151,994",$208.84 ,"2,573,815",$270.69 ,"1,804,819",$265.51 ,"284,950",$253.65 ,"484,046",$300.03 ,"4,366,980",$348.86 ,"22,298",$266.83 ,"4,344,682",$349.28 ,"541,303",$275.63 ,"16,997",$158.72 ,"524,306",$279.42 ,"122,513",$226.81 ,"1,009",$158.28 ,"121,504",$227.38 ,"13,814",$309.69 ,644,$280.31 ,"13,170",$311.12 ,"2,795,892",$413.43 ,"1,883,751",$454.37 ,"912,141",$328.88 ,"434,873",$122.01 ,"2,020",$100.25 ,"432,853",$122.11 ,"1,282,105",$123.81 ,"1,095,231",$116.21 ,"32,762",$151.89 ,"154,112",$171.88 ,,,,,,,,,,,
Nov-81,"20,119,289",$385.51 ,"10,728,590",$430.48 ,"9,390,699",$334.13 ,"3,024,276",$194.52 ,"38,597",$145.92 ,"2,985,679",$195.15 ,"635,492",$161.21 ,"341,743",$130.83 ,"143,177",$181.90 ,"150,572",$210.48 ,"2,568,916",$270.89 ,"1,803,374",$265.57 ,"285,985",$253.87 ,"479,557",$301.06 ,"4,376,905",$349.15 ,"22,471",$266.75 ,"4,354,434",$349.58 ,"545,435",$276.14 ,"17,260",$159.32 ,"528,175",$279.95 ,"122,143",$226.64 ,"1,009",$158.16 ,"121,134",$227.22 ,"13,706",$310.12 ,638,$281.57 ,"13,068",$311.51 ,"2,786,712",$413.27 ,"1,877,366",$454.29 ,"909,346",$328.57 ,"431,649",$121.86 ,"1,997",$100.58 ,"429,652",$121.96 ,"1,266,056",$123.63 ,"1,082,351",$115.88 ,"32,706",$151.97 ,"150,999",$173.04 ,,,,,,,,,,,
Dec-81,"20,195,362",$385.97 ,"10,766,981",$431.06 ,"9,428,381",$334.49 ,"3,030,815",$194.75 ,"38,559",$145.93 ,"2,992,256",$195.38 ,"632,870",$161.39 ,"340,356",$131.07 ,"143,633",$182.22 ,"148,881",$210.62 ,"2,545,566",$270.94 ,"1,796,094",$265.73 ,"286,724",$253.96 ,"462,748",$301.68 ,"4,386,351",$349.39 ,"22,643",$266.84 ,"4,363,708",$349.82 ,"547,593",$276.68 ,"17,487",$159.70 ,"530,106",$280.54 ,"121,590",$226.58 ,"1,009",$158.75 ,"120,581",$227.15 ,"13,627",$310.42 ,638,$281.79 ,"12,989",$311.82 ,"2,776,519",$413.15 ,"1,870,436",$454.23 ,"906,083",$328.35 ,"428,212",$121.62 ,"1,989",$100.13 ,"426,223",$121.72 ,"1,251,543",$123.40 ,"1,070,000",$115.64 ,"32,664",$151.91 ,"148,879",$172.92 ,,,,,,,,,,,
Jan-82,"20,293,570",$386.62 ,"10,823,303",$431.86 ,"9,470,267",$334.91 ,"3,032,189",$195.02 ,"38,406",$145.97 ,"2,993,783",$195.65 ,"636,220",$161.90 ,"340,510",$131.55 ,"143,844",$182.58 ,"151,866",$210.34 ,"2,549,684",$271.08 ,"1,792,719",$265.87 ,"287,785",$254.19 ,"469,180",$301.35 ,"4,398,759",$349.78 ,"22,904",$266.95 ,"4,375,855",$350.22 ,"547,963",$276.64 ,"17,670",$160.02 ,"530,293",$280.52 ,"121,064",$226.42 ,"1,017",$157.83 ,"120,047",$227.00 ,"13,503",$310.59 ,633,$282.36 ,"12,870",$311.98 ,"2,759,794",$412.92 ,"1,858,389",$454.09 ,"901,405",$328.04 ,"422,139",$121.20 ,"1,981",$99.67 ,"420,158",$121.31 ,"1,232,312",$123.08 ,"1,051,722",$115.29 ,"32,476",$151.86 ,"148,114",$172.10 ,,,,,,,,,,,
Feb-82,"20,332,241",$386.81 ,"10,838,352",$432.22 ,"9,493,889",$334.96 ,"3,031,236",$195.21 ,"38,325",$145.87 ,"2,992,911",$195.84 ,"642,167",$162.51 ,"338,663",$131.62 ,"143,920",$182.86 ,"159,584",$209.68 ,"2,572,067",$271.42 ,"1,788,373",$265.97 ,"288,393",$254.46 ,"495,301",$301.00 ,"4,404,831",$350.07 ,"22,998",$267.20 ,"4,381,833",$350.51 ,"547,046",$276.40 ,"17,786",$159.66 ,"529,260",$280.33 ,"120,485",$226.25 ,"1,009",$157.82 ,"119,476",$226.83 ,"13,427",$310.84 ,631,$281.97 ,"12,796",$312.26 ,"2,744,856",$412.66 ,"1,847,379",$453.90 ,"897,477",$327.76 ,"416,870",$120.73 ,"1,966",$99.31 ,"414,904",$120.83 ,"1,224,160",$123.01 ,"1,036,238",$114.90 ,"32,205",$151.49 ,"155,717",$171.15 ,,,,,,,,,,,
Mar-82,"20,371,193",$387.08 ,"10,854,361",$432.63 ,"9,516,832",$335.13 ,"3,029,706",$195.41 ,"38,243",$145.80 ,"2,991,463",$196.05 ,"647,831",$163.19 ,"336,111",$131.69 ,"143,886",$183.11 ,"167,834",$209.18 ,"2,593,702",$271.91 ,"1,780,999",$266.20 ,"288,851",$254.89 ,"523,852",$300.71 ,"4,411,630",$350.37 ,"23,211",$267.07 ,"4,388,419",$350.81 ,"544,321",$276.25 ,"17,872",$159.44 ,"526,449",$280.21 ,"119,880",$226.03 ,"1,015",$156.74 ,"118,865",$226.62 ,"13,331",$311.04 ,630,$282.14 ,"12,701",$312.47 ,"2,730,997",$412.42 ,"1,837,256",$453.72 ,"893,741",$327.51 ,"411,048",$120.27 ,"1,934",$98.80 ,"409,114",$120.37 ,"1,215,210",$123.12 ,"1,019,560",$114.63 ,"31,960",$151.49 ,"163,690",$170.46 ,,,,,,,,,,,
Apr-82,"20,368,891",$387.17 ,"10,849,727",$432.88 ,"9,519,164",$335.08 ,"3,023,555",$195.53 ,"38,130",$145.71 ,"2,985,425",$196.16 ,"649,541",$163.40 ,"333,982",$131.66 ,"143,774",$183.28 ,"171,785",$208.49 ,"2,609,125",$272.04 ,"1,778,246",$266.14 ,"289,671",$255.18 ,"541,208",$300.45 ,"4,414,753",$350.66 ,"23,435",$266.99 ,"4,391,318",$351.11 ,"539,146",$275.10 ,"17,993",$158.60 ,"521,153",$279.12 ,"119,213",$225.95 ,"1,014",$157.00 ,"118,199",$226.55 ,"13,221",$311.23 ,628,$282.92 ,"12,593",$312.65 ,"2,722,119",$412.34 ,"1,830,588",$453.72 ,"891,531",$327.36 ,"406,689",$119.88 ,"1,935",$98.45 ,"404,754",$119.98 ,"1,208,387",$123.18 ,"1,007,175",$114.46 ,"31,830",$151.26 ,"169,382",$169.78 ,,,,,,,,,,,
May-82,"20,377,752",$387.23 ,"10,851,731",$433.08 ,"9,526,021",$335.01 ,"3,019,708",$195.87 ,"38,029",$145.68 ,"2,981,679",$196.51 ,"524,914",$153.42 ,"331,499",$134.19 ,"143,698",$183.88 ,"49,717",$193.52 ,"2,209,950",$269.39 ,"1,770,735",$270.49 ,"290,536",$255.94 ,"148,679",$282.47 ,"4,418,198",$350.88 ,"23,594",$267.13 ,"4,394,604",$351.33 ,"525,991",$281.59 ,"17,457",$161.22 ,"508,534",$285.72 ,"118,761",$230.20 ,"1,022",$158.78 ,"117,739",$230.82 ,"13,133",$311.78 ,622,$284.33 ,"12,511",$313.14 ,"2,713,352",$412.28 ,"1,824,487",$453.69 ,"888,865",$327.29 ,"402,257",$121.42 ,"1,944",$98.11 ,"400,313",$121.53 ,"1,080,922",$119.47 ,"997,152",$116.47 ,"31,717",$153.03 ,"52,053",$156.49 ,,,,,,,,,,,
Jun-82,"20,392,236",$415.94 ,"10,853,456",$465.30 ,"9,538,780",$359.78 ,"3,018,726",$210.49 ,"37,919",$156.27 ,"2,980,807",$211.18 ,"521,876",$164.97 ,"329,064",$144.45 ,"143,646",$197.68 ,"49,166",$206.80 ,"2,200,784",$289.63 ,"1,763,061",$291.02 ,"291,471",$275.02 ,"146,252",$301.93 ,"4,421,740",$377.06 ,"23,719",$286.69 ,"4,398,021",$377.55 ,"520,416",$302.95 ,"17,314",$173.54 ,"503,102",$307.40 ,"118,157",$246.77 ,"1,021",$169.90 ,"117,136",$247.44 ,"13,043",$335.07 ,618,$305.50 ,"12,425",$336.55 ,"2,713,207",$442.85 ,"1,823,795",$487.46 ,"889,412",$351.39 ,"399,494",$130.66 ,"1,947",$105.35 ,"397,547",$130.78 ,"1,071,093",$128.74 ,"984,099",$125.36 ,"31,738",$164.40 ,"55,256",$168.42 ,,,,,,,,,,,
